Table_Name,Table_Description,Column_Name,Column_Description,Data_Type,Size,Nullable
CUP003,Customer Master File,CURACE,Race Code,CHARACTER,1,Y
CUP003,Customer Master File,CUOWN,Own Home Ind,CHARACTER,1,Y
CUP003,Customer Master File,CUYREM,Year Employed At Current Job,NUMERIC,,Y
CUP003,Customer Master File,CUINC,Income In Multiple Ex 000S,DECIMAL,,Y
CUP003,Customer Master File,CUSRIN,Primary Source Of Income,CHARACTER,1,Y
CUP003,Customer Master File,CUBDTE,Cubdte,NUMERIC,,Y
CUP003,Customer Master File,CUDEP,Dependent Cnt,NUMERIC,,Y
CUP003,Customer Master File,CUCTC,Contact Person Business,CHARACTER,18,Y
CUP003,Customer Master File,CUCTCT,Contact Title,CHARACTER,6,Y
CUP003,Customer Master File,CUCIRA,Withholding Code,CHARACTER,1,Y
CUP003,Customer Master File,CUMNBR,Highest Used Memo Nbr,NUMERIC,,Y
CUP003,Customer Master File,CUNTID,National Id Number,CHARACTER,20,Y
CUP003,Customer Master File,CUUSR1,User Key Field,CHARACTER,18,Y
CUP003,Customer Master File,CUCLNK,Customer Linkage Field,CHARACTER,15,Y
CUP003,Customer Master File,CUUSR3,User Field 15A,CHARACTER,15,Y
CUP003,Customer Master File,CUCDCH,Diners Club Holder Flag,CHARACTER,1,Y
CUP003,Customer Master File,CUCDCN,Diners Club Card Number,CHARACTER,16,Y
CUP003,Customer Master File,CUCDCD,Date Expiration Diners Club,DECIMAL,,Y
CUP003,Customer Master File,CUCMCH,Mastercard Holder Flag,CHARACTER,1,Y
CUP003,Customer Master File,CUCMNR,Mastercard Number,CHARACTER,16,Y
CUP003,Customer Master File,CUCMCD,Date Expiration Mc,DECIMAL,,Y
CUP003,Customer Master File,CUCVSH,Visa Card Holder Flag,CHARACTER,1,Y
CUP003,Customer Master File,CUCVCN,Visa Card Number,CHARACTER,16,Y
CUP003,Customer Master File,CUCVCD,Date Expiration Visa,DECIMAL,,Y
CUP003,Customer Master File,CUCATH,Atm Card Holder Flag,CHARACTER,1,Y
CUP003,Customer Master File,CUCATN,Atm Card Number,CHARACTER,19,Y
CUP003,Customer Master File,CUCATD,Date Expiration Atm Card,DECIMAL,,Y
CUP003,Customer Master File,CUCLNG,Language Code,CHARACTER,1,Y
CUP003,Customer Master File,CUCCCD,Citizenship Code,DECIMAL,,Y
CUP003,Customer Master File,CULGLR,Legal Residence Code,DECIMAL,,Y
CUP003,Customer Master File,CUCWHP,Reserved Field 1,DECIMAL,,Y
CUP003,Customer Master File,CUCPSP,Passport Number,CHARACTER,10,Y
CUP003,Customer Master File,CUCTXN,Tax Id Number,CHARACTER,14,Y
CUP003,Customer Master File,CUCPRF,Profession Code,DECIMAL,,Y
CUP003,Customer Master File,CUSHKY,Short Name Derived,CHARACTER,10,Y
CUP003,Customer Master File,CUITLD,Intl Dial Code,DECIMAL,,Y
CUP003,Customer Master File,CUPSTL,Postal Code,CHARACTER,10,Y
CUP003,Customer Master File,CUACOM,Accommodation Code,CHARACTER,2,Y
CUP003,Customer Master File,CUBRCH,Branch Primary Id,DECIMAL,,Y
CUP003,Customer Master File,CUMIDT,Date Moved In,NUMERIC,,Y
CUP003,Customer Master File,CUMRTS,Marital Status Code,CHARACTER,1,Y
CUP003,Customer Master File,CUMAIL,Mail Code,CHARACTER,1,Y
CUP003,Customer Master File,CUSOLI,Solicit Ind,CHARACTER,1,Y
CUP003,Customer Master File,CUSOCI,Socio Economic Group Id,CHARACTER,4,Y
CUP003,Customer Master File,CUCPNA,Home Phone Avail,CHARACTER,1,Y
CUP003,Customer Master File,CUBPNA,Bus Phone Avail,CHARACTER,1,Y
CUP003,Customer Master File,CUPERS,Personal Non Personal Flag,CHARACTER,1,Y
CUP003,Customer Master File,CUSALU,Salutation,CHARACTER,20,Y
CUP003,Customer Master File,CUFAX,Phone Number Facsimile,DECIMAL,,Y
CUP003,Customer Master File,CUTELX,Telex Number,DECIMAL,,Y
CUP003,Customer Master File,CUTXAN,Telex Answerback,CHARACTER,8,Y
CUP003,Customer Master File,CUDOCF,Cust Doc Flag,CHARACTER,1,Y
CUP003,Customer Master File,CUDCDT,Date Activity Cust Doc,NUMERIC,,Y
CUP003,Customer Master File,CUTINU,Tin Cert Flag,CHARACTER,1,Y
CUP003,Customer Master File,CUTADT,Date Tin Activity,NUMERIC,,Y
CUP003,Customer Master File,CUWPRT,Nbr Certs Sent,NUMERIC,,Y
CUP003,Customer Master File,CUCECD,Reserved Field 2,CHARACTER,1,Y
CUP003,Customer Master File,CUCELM,Reserved Field 3,DECIMAL,,Y
CUP003,Customer Master File,CUEXTF,Customer Extract Flag,CHARACTER,1,Y
CUP003,Customer Master File,CUMTND,Date Maintenance Last,DECIMAL,,Y
CUP003,Customer Master File,CUCNCD,Curr Country Code,NUMERIC,,Y
CUP003,Customer Master File,CUMARK,Market Seqment,CHARACTER,5,Y
CUP003,Customer Master File,CUEMPL,Director Officer Employee Cd,CHARACTER,1,Y
CUP003,Customer Master File,CUINQ,Inquiry Level,CHARACTER,1,Y
CUP003,Customer Master File,CUMNT,Maintenance Level,CHARACTER,1,Y
CUP003,Customer Master File,CUCENS,Location Code,NUMERIC,,Y
CUP003,Customer Master File,CUCODT,Date Contact Last,NUMERIC,,Y
CUP003,Customer Master File,CUDEDT,Cudedt,NUMERIC,,Y
CUP003,Customer Master File,CUACCD,Access Code,DECIMAL,,Y
CUP003,Customer Master File,CUBYR1,First B Notice Year,NUMERIC,,Y
CUP003,Customer Master File,CUBYR2,Second B Notice Year,NUMERIC,,Y
CUP003,Customer Master File,CUPREF,Preferred Customer Code,CHARACTER,10,Y
CUP003,Customer Master File,CUJBDT,Date Birth,DECIMAL,,Y
CUP003,Customer Master File,CUJDDT,Date Decease,DECIMAL,,Y
CUP003,Customer Master File,CUEMA1,Email Home,CHARACTER,54,Y
CUP003,Customer Master File,CUEMA2,Email Business,CHARACTER,54,Y
CUP003,Customer Master File,CUOPT,Date Opt Out Change,CHARACTER,1,Y
CUP003,Customer Master File,CUOPTD,Date Opt Out Change1,DECIMAL,,Y
CUP003,Customer Master File,CUSPFG,Subprime Borrower,CHARACTER,1,Y
CUP003,Customer Master File,CUOENTTYP,Entity Type Original,CHARACTER,5,Y
CUP003,Customer Master File,CUCENTTYP,Entity Type Current,CHARACTER,5,Y
CUP003,Customer Master File,CUAMDT,Date Opt Out,DECIMAL,,Y
CUP003,Customer Master File,CURPPRCDT,Date Relationship Processed,DECIMAL,,Y
CUP003,Customer Master File,CUPREFOVR,Preferred Customer Override,NUMERIC,,Y
CUP003,Customer Master File,CUTOLCNT,Tolerance Counter,NUMERIC,,Y
CUP003,Customer Master File,CUNRA,Non Resident Alien Flag,NUMERIC,,Y
CUP003,Customer Master File,CURCPCC,Recipient Country Code,CHARACTER,2,Y
CUP003,Customer Master File,CUCREST,Country Code Of Res For Tax,CHARACTER,2,Y
CUP003,Customer Master File,CURCPCD,Chapter 3 Status Type,NUMERIC,,Y
CUP003,Customer Master File,CUPROVC,Province Code,CHARACTER,2,Y
CUP003,Customer Master File,CUNRAP,Non Resident Alien Prior Year,NUMERIC,,Y
CUP003,Customer Master File,CUMIDTJ,Date Moved In Julian,DECIMAL,,Y
CUP003,Customer Master File,CUOPDTJ,Date Open Julian,DECIMAL,,Y
CUP003,Customer Master File,CUFATCAST,Chapter 4 Fatca Status,NUMERIC,,Y
CUP003,Customer Master File,CUREGIIN,Recipient Giin,CHARACTER,19,Y
CUP003,Customer Master File,CUCIPRVDT,Date Cip Kyc Review Next,DECIMAL,,Y
CUP003,Customer Master File,CUEDD1,Edd Category 01,CHARACTER,10,Y
CUP003,Customer Master File,CUEDD2,Edd Category 02,CHARACTER,10,Y
CUP003,Customer Master File,CUEDD3,Edd Category 03,CHARACTER,10,Y
CUP003,Customer Master File,CUMLTY,Military Status,CHARACTER,1,Y
CUP003,Customer Master File,CUPEPLOC,Pep Location,CHARACTER,15,Y
CUP003,Customer Master File,CUPEPLVL,Pep Level,CHARACTER,10,Y
CUP003,Customer Master File,CUPEPTYPE,Pep Type,CHARACTER,1,Y
CUP003,Customer Master File,CURSKSCR1,Customer Risk Score 01,CHARACTER,10,Y
CUP003,Customer Master File,CURSKSCR2,Customer Risk Score 02,CHARACTER,10,Y
CUP003,Customer Master File,CURSKSCR3,Customer Risk Score 03,CHARACTER,10,Y
CUP003,Customer Master File,CURSKSCR4,Customer Risk Score 04,CHARACTER,10,Y
CUP003,Customer Master File,CUSIC2,Sic Code 2,DECIMAL,,Y
CUP003,Customer Master File,CUSIC3,Sic Code 3,DECIMAL,,Y
CUP003,Customer Master File,CUWEBURL,Website Url,CHARACTER,54,Y
CUP003,Customer Master File,CUNONCSTDT,Date Non Customer,DECIMAL,,Y
CUP003,Customer Master File,CUNATID2,National Id Number 2,CHARACTER,20,Y
CUP003,Customer Master File,CUCREST2,Country Code Of Res For Tax2,CHARACTER,2,Y
CUP003,Customer Master File,CUNATID3,National Id Number 3,CHARACTER,20,Y
CUP003,Customer Master File,CUCREST3,Country Code Of Res For Tax3,CHARACTER,2,Y
CUP003,Customer Master File,CUBNORQ,Beneficial Owner Required,CHARACTER,1,Y
CUP003,Customer Master File,CUCPAVL,Cell Phone Avail,NUMERIC,,Y
CUP003,Customer Master File,CUBNORQD,Date Beneficial Owner Reqd,DECIMAL,,Y
CUP003,Customer Master File,CUHPLUPD,Date Phone Nbr Update Home,DECIMAL,,Y
CUP003,Customer Master File,CUBPLUPD,Date Phone Nbr Update Bus,DECIMAL,,Y
CUP003,Customer Master File,CUCPLUPD,Date Phone Nbr Update Cell,DECIMAL,,Y
